ts	phase	decision	why	evidence	result
2026-09-17T07:17:49Z	intake	TAKE frozen range 47ace94962a714a561d7cfbdbaa4c721ef6b0598..0150c6a53b409ba3bcb45645709b649cf8708354	The target is 130 commits ahead with no reverse commits; KAT-3371 acceptance is Done and KAT-3377 learning waits Start outside this Build	KAT-3411 Linear intake	new run
2026-09-17T07:22:00Z	git	TAKE synthetic previous-pin ancestry anchor	KAT-3371 squash-merged PR #223 so pin 47ace9496 is not an ancestor of origin/main; kat-3371-intake.md and FORK.md account for that pin	git merge --strategy=ours --no-ff 47ace9496 → ca3309803; tree unchanged vs 7fad04511; merge-base --all HEAD upstream = previous pin	squash recovery
2026-09-17T07:30:00Z	instructions	SKIP upstream AGENTS.md and .macroscope files	Kata owns lifecycle instructions; upstream instructions are review material	git DU conflicts	retain deletions
2026-09-17T07:30:00Z	cleanup	SKIP reintroduction of deleted desktop-macos-preview.yml, desktop-macos-preview-publish.yml, ios-debugger-agent SKILL, VOUCHED.td	Kata parked or deleted those paths; taking the workflows would inherit jobs Kata does not run	git DU conflicts; .github/disabled/README.md; KAT-3371 workflow lesson	retain deletions
2026-09-17T07:30:00Z	features	TAKE current upstream product changes	The range adds accepted CLI, desktop, web, mobile, server, composer, storage, worktree, PR, and settings behavior	git log 47ace9496..0150c6a53 and docs/upstream/kat-3411-intake.md	adapt to Kata
2026-09-17T07:30:00Z	identity	SKIP upstream user-visible and operator T3 identity	FORK.md and docs/product-branding.md require Kata names, packages, commands, environment variables, protocols, assets, and release destinations	FORK.md and docs/product-branding.md; remap @t3tools→@kata-sh/code-* on conflicted and auto-merged files	adapt taken work
2026-09-17T07:30:00Z	retained	SKIP removal of Kata sandbox, process, credential, and mixed-fleet behavior	The retained inventory requires enableSandboxes default off, ProcessRunner/VcsProcess.runBytes, credential cleanup, threadPullRequestCompatibility, and translateLegacyProjectOverridePatch	docs/upstream/retained-behavior.v1.json and rebase skill history	preserve during conflicts and clean-merge review
2026-09-17T07:30:00Z	migrations	TAKE upstream migration 052 as Kata migration 056	Kata 041-055 already occupy lower IDs including 052 ProjectionThreadPullRequests	apps/server/src/persistence/Migrations.ts; git mv 052_ProjectionThreadTitleState.ts → 056_ProjectionThreadTitleState.ts; KataUpstreamUpgrade.test.ts expects 43..56 and title_state_json	preserve shipped IDs
2026-09-17T07:30:00Z	assets	SKIP replacement of Kata channel artwork	Kata assets remain release-channel identity, and KAT-3301 separately owns the existing Android monochrome defect	docs/product-branding.md and KAT-3301	retain current artwork
2026-09-17T07:30:00Z	workflows	TAKE ci.yml stage-preview-bundle.py and KEEP Kata pin consumers / workflow ownership	ci.yml calls the new Python stager; UPSTREAM_TIP and UPSTREAM_SHA must both move to 0150c6a53; UPSTREAM_BASE stays 6a687ee; release.yml keeps no publish_aur, setup-apt-mirrors, or notify-discord	.github/workflows/ci.yml; .github/scripts/stage-preview-bundle.py; scripts/check-workflow-references.mjs	adapted
2026-09-17T07:30:00Z	release	TAKE relay_client_tracing and KEEP Kata dry_run on release-desktop.yml	Upstream tracing is accepted; Kata dry-run verification remains required	.github/workflows/release-desktop.yml	adapted
2026-09-17T07:30:00Z	deps	TAKE Clerk 4.6.8 and KEEP alchemy 2.0.0-beta.76	Catalog and patches must match Kata-owned alchemy while taking the Clerk bump	pnpm-workspace.yaml	adapted
2026-09-17T07:30:00Z	lint	TAKE no-hermes-unsupported-apis and KEEP Kata restricted-import paths	Root vite.config and oxlint plugin remain Kata-scoped (@kata-sh/code-client-runtime, kata-code/no-hermes-unsupported-apis); knip entries keep setup-worktree, verify-kata-sandbox, mobile-native-client	vite.config.ts; oxlint-plugin-kata-code; knip	adapted
2026-09-17T07:45:00Z	branding	TAKE exact exception for new ConnectionsSettings T3 Connect comment	Internal comment matches the branding scanner phrase; rendered copy stays Kata	docs/branding-exceptions.json; apps/web/src/components/settings/ConnectionsSettings.tsx:1529	exception added
2026-09-17T07:45:00Z	mobile-cloud	TAKE T3ConnectProfilePage and SettingsAuthRouteScreen with Kata Connect copy	User-visible Clerk Connect page uses CLOUD_PRODUCT_NAME and Kata Code Connect strings; internal T3Connect* symbols stay	apps/mobile/src/features/cloud/T3ConnectProfilePage.tsx; apps/mobile/src/features/settings/SettingsAuthRouteScreen.tsx	adapted
2026-09-17T07:45:00Z	cli	TAKE installer/update progress with Kata archive and env names	scripts/install.sh already uses KATACODE_* / katacode / Installed Kata Code; tests and updateProgress labels must match	scripts/install.test.ts; apps/server/src/cli/updateProgress.ts	adapted
2026-09-17T07:45:00Z	composer	TAKE Tiptap default composer and SKIP Lexical node reintroduction	Upstream defaulted rich text to Tiptap; Kata does not restore deleted Lexical nodes	git rm Lexical nodes; apps/web/src/components/ComposerPromptEditorTiptap.tsx	adapted
2026-09-17T07:45:00Z	lockfile	TAKE regenerated pnpm-lock.yaml from resolved manifests	Do not keep either conflicted lockfile side; regenerate from Kata package names plus taken catalog versions	pnpm install in the issue worktree	regenerated
2026-09-17T08:05:00Z	preservation	TAKE upstream coverage beside frozen Kata assertions	The base checker owns exact regression files; new OTLP, VCS stream, window-button, launcher, and Android Material coverage lives in companion .upstream.test.ts suites	trusted tests restored from 7fad04511; companion suites added	adapted
2026-09-17T08:20:00Z	sandbox	TAKE restored SandboxDeploymentService and SandboxGitHubAccess test mocks	The three-way merge dropped Layer.mock for those services from buildAppUnderTest, so /api/kata-sandbox list failed with Service not found; restore the Kata stubs after CloudCliTokenManager	apps/server/src/server.test.ts vs 7fad04511	adapted
2026-09-17T08:25:00Z	identity	SKIP leftover upstream Connect wire paths in server.test.ts	Operator well-known, kata-connect, kata-env audience, katacode:// CORS, and kata_relay provider remain Kata-owned; restore them after the auto-merge took t3-connect/t3-env/t3code	apps/server/src/server.test.ts vs 7fad04511 and packages/contracts/src/wireIdentity.ts	adapted
2026-09-17T08:30:00Z	desktop	TAKE macOS window-button zoom with frozen-fake Electron guards	Upstream calls setWindowButtonPosition/getZoomFactor; frozen DesktopWindow.test.ts fakes omit those methods and must stay byte-identical. Guard the optional APIs and keep new coverage in DesktopWindow.upstream.test.ts	apps/desktop/src/window/DesktopWindow.ts; trusted DesktopWindow.test.ts still MATCH 7fad04511	adapted
