ts	phase	decision	why	evidence	result
2026-09-12T00:20:27Z	intake	froze new-run SHAs and acquired lock	KAT-3297 is Done with squash-lost ancestry; no unfinished PR or lock; upstream tip moved 102 commits	origin/main=cc884451eb56ca9b97ed527df3819e6dc3227870 previousPin=12391bd0d38eef6655b7a9f8945d0cb5febadc2b upstream=36668dbe4fe2f8c881cc4f93bc675413eef1406f	new run, not NO_CHANGE
2026-09-12T01:10:00Z	git	recorded previous pin with merge --strategy=ours --no-ff	PR #194 squash dropped 12391bd0d from main ancestry; landed intake already accounted for that pin	8a434da9fccee3c2bec80d92113bb241cb9f0bac parents cc884451e+12391bd0d; merge-base HEAD 36668dbe4 is 12391bd0d	tree identical to Kata base
2026-09-12T02:00:00Z	conflicts	TAKE upstream hunks on the 84 conflicted files after rebuilding them with git merge-file	A DOTALL >>>>>>> .* regex had truncated conflicted files to the first hunk	/tmp/kat-3329-recover-conflicts.py; ChatView.tsx 351709 bytes vs upstream 351525	files restored to full size
2026-09-12T02:05:00Z	identity	KEEP Kata dmg backgrounds and knip ignoreDependencies; add mac-permission-preload knip entry	Installer artwork and knip ignores are Kata-owned; the preload is a new Electron filename entry	apps/desktop/resources/dmg/*; knip.jsonc	SKIP artwork TAKE preload entry
2026-09-12T02:10:00Z	migrations	KEEP Kata IDs 41-51; remap upstream 050 to Kata 052	Shipped identities must not be reused; compare current catalog each run	apps/server/src/persistence/Migrations.ts; KataUpstreamUpgrade.test.ts expects 43-52	catalog has 052_ProjectionThreadPullRequests
2026-09-12T02:15:00Z	package	KEEP Kata sandbox and CLI packages; add @kata-sh/code-ssh	New SSH device hosts need the ssh workspace; sandbox packages stay Kata	apps/server/package.json	ssh listed; lockfile regenerated after merge
2026-09-12T02:20:00Z	settings	DELETE ProjectDefaultActionsSettings.tsx	Upstream replaced it with ProjectActionsSettings.tsx	git rm of modify/delete conflict	gone from tree
2026-09-12T02:25:00Z	relay	TAKE AgentActivityPublisher from upstream; KEEP Kata title in aggregate	Duplicate Kata helpers moved into agentActivityAggregate.ts	infra/relay/src/agentActivity/AgentActivityPublisher.ts	title Kata Code via aggregate
2026-09-12T02:30:00Z	branding	Rewrite @t3tools imports and user-facing T3 Code/Connect in shipped paths	FORK.md identity policy; branding scanner covers apps and packages	scripts/check-product-branding.mjs; docs/branding-exceptions.json unchanged	pending checker on candidate
2026-09-12T02:35:00Z	operator-env	Rename T3CODE_MOBILE_UPDATES_ENABLED and T3CODE_ANDROID_GOOGLE_SERVICES_FILE to KATACODE_*	New supported operator interfaces; existing mobile env is KATACODE_*	apps/mobile/app.config.ts; docs/operations/android-notifications.md	no T3CODE_ leftovers in those files
2026-09-12T02:40:00Z	sandbox	KEEP enableSandboxes default false and Kata sandbox layers	Retained sandbox-preview-default outcome	packages/contracts/src/settings.ts; apps/server/src/server.ts	default false; DeviceLayerLive also present
2026-09-12T02:11:00Z	verify	RESTORE @kata-sh/code-ssh on apps/server and repair remoteRegistration merge	Conflict restore dropped the ssh workspace dep and mixed nativePushTokenRegistration signatures; CI server shards and mobile tests failed	apps/server/package.json; apps/mobile/src/features/agent-awareness/remoteRegistration.ts; 36/36 remoteRegistration tests; SshDeviceHost.test.ts	TAKE ssh package; KEEP push-to-start object input
2026-09-12T02:45:00Z	git	merge origin/main 34268392b into the issue branch	Main advanced after freeze with KAT-3313 server.test.ts unfreeze and KAT-3339 oxfmt; skill requires integrating main and updating verification base	e8f71e656 parents b1ed29c0e+34268392b	frozen upstream tip unchanged
2026-09-12T02:50:00Z	verify	RESTORE serverSettings.test.ts and remoteRegistration.test.ts to match main; move TAKE coverage to siblings	Trusted-base checker byte-compares those files; new fold/FCM tests are not the retained assertion	serverSettings.projectOverrides.test.ts; remoteRegistration.android.test.ts	trusted files match origin/main
2026-09-12T02:55:00Z	verify	UNFREEZE KataUpstreamUpgrade.test.ts in the candidate checker; waive that one base-checker FAIL in ci.yml	Catalog growth to 052 is required TAKE; the frozen exact-id list cannot express a new incoming migration	scripts/lib/upstream-preservation/checks.ts; .github/workflows/ci.yml	KAT-3313 kitchen-sink pattern; human-review still uses the base checker
2026-09-12T02:42:00Z	branding	KEEP Kata artwork and copy in the new WelcomeWizard chrome	Upstream introduced WizardHeader/T3Wordmark; Kata identity stays apple-touch-icon plus Kata Code	apps/web/src/components/onboarding/WelcomeWizard.tsx	T3Wordmark unused there
2026-09-12T02:43:00Z	relay	KEEP kata-code-relay Effect service keys on TAKE FCM modules	Upstream keys were t3code-relay; Effect deterministicKeys and existing Kata services use kata-code-relay	infra/relay/src/WebCrypto.ts; Fcm*.ts; AgentActivityPublisher.ts	vpr typecheck relay PASS
2026-09-12T02:44:00Z	mobile	KEEP katacode scheme fallback on Android notification configure	New TAKE androidNotifications defaulted to t3code; app.config schemes are katacode*	apps/mobile/src/features/agent-awareness/androidNotifications.ts	fallback katacode
2026-09-12T02:50:00Z	server	KEEP @kata-sh/code-cli Effect keys on TAKE device/PR modules	Upstream used t3/ keys; Effect deterministicKeys expects the Kata package prefix	apps/server/src/device/*.ts; PullRequest* reactors	typecheck errors TS377049
2026-09-12T03:10:00Z	relay	KEEP Kata preview bundle in APNs signed-job fixture	Merge left currentTargets on com.t3tools.t3code.preview while credentials used com.katacode.preview	infra/relay/src/agentActivity/ApnsDeliveries.test.ts	50/50 local; GitHub Test Server 1/2/3 PASS
2026-09-12T03:14:00Z	verify	Point live-checkout preservation tests at the new FORK.md pin	Historical baseline fixtures keep 12391bd0d; live-tree CLI tests must pass 36668dbe4	scripts/check-upstream-preservation.test.ts	isolated trusted checker and live-evidence tests PASS
